,date,cases,order_code,Face_Masks_Required_in_Public,mean_cases,daily_confirmed_cases,daily_increase_rate
10,2020-02-01,0,2.0,No,0.0,0,0.0
11,2020-02-02,0,2.0,No,0.0,0,0.0
12,2020-02-03,0,2.0,No,0.0,0,0.0
13,2020-02-04,0,2.0,No,0.0,0,0.0
14,2020-02-05,0,2.0,No,0.0,0,0.0
15,2020-02-06,0,2.0,No,0.0,0,0.0
16,2020-02-07,0,2.0,No,0.0,0,0.0
17,2020-02-08,0,2.0,No,0.0,0,0.0
18,2020-02-09,0,2.0,No,0.0,0,0.0
19,2020-02-10,0,2.0,No,0.0,0,0.0
20,2020-02-11,0,2.0,No,0.0,0,0.0
21,2020-02-12,0,2.0,No,0.0,0,0.0
22,2020-02-13,0,2.0,No,0.0,0,0.0
23,2020-02-14,0,2.0,No,0.0,0,0.0
24,2020-02-15,0,2.0,No,0.0,0,0.0
25,2020-02-16,0,2.0,No,0.0,0,0.0
26,2020-02-17,0,2.0,No,0.0,0,0.0
27,2020-02-18,0,2.0,No,0.0,0,0.0
28,2020-02-19,0,2.0,No,0.0,0,0.0
29,2020-02-20,0,2.0,No,0.0,0,0.0
30,2020-02-21,0,2.0,No,0.0,0,0.0
31,2020-02-22,0,2.0,No,0.0,0,0.0
32,2020-02-23,0,2.0,No,0.0,0,0.0
33,2020-02-24,0,2.0,No,0.0,0,0.0
34,2020-02-25,0,2.0,No,0.0,0,0.0
35,2020-02-26,0,2.0,No,0.0,0,0.0
36,2020-02-27,0,2.0,No,0.0,0,0.0
37,2020-02-28,0,2.0,No,0.0,0,0.0
38,2020-02-29,0,2.0,No,0.0,0,0.0
39,2020-03-01,0,2.0,No,0.0,0,0.0
40,2020-03-02,0,2.0,No,0.0,0,0.0
41,2020-03-03,0,2.0,No,0.0,0,0.0
42,2020-03-04,0,2.0,No,0.0,0,0.0
43,2020-03-05,0,2.0,No,0.0,1,0.00013691221873096064
44,2020-03-06,1,2.0,No,0.14285714285714285,0,0.0
45,2020-03-07,1,2.0,No,0.2857142857142857,0,0.0
46,2020-03-08,1,2.0,No,0.42857142857142855,0,0.0
47,2020-03-09,1,2.0,No,0.5714285714285714,0,0.0
48,2020-03-10,1,2.0,No,0.7142857142857143,0,0.0
49,2020-03-11,1,2.0,No,0.8571428571428571,0,0.0
50,2020-03-12,1,2.0,No,1.0,1,0.00013691221873096064
51,2020-03-13,2,2.0,No,1.1428571428571428,1,0.00013691221873096064
52,2020-03-14,3,2.0,No,1.4285714285714286,1,0.00013691221873096064
53,2020-03-15,4,2.0,No,1.8571428571428572,2,0.0002738244374619213
54,2020-03-16,6,2.0,No,2.5714285714285716,0,0.0
55,2020-03-17,6,2.0,No,3.2857142857142856,2,0.0002738244374619213
56,2020-03-18,8,2.0,No,4.285714285714286,7,0.0009583855311167245
57,2020-03-19,15,2.0,No,6.285714285714286,12,0.0016429466247715276
58,2020-03-20,27,2.0,No,9.857142857142858,10,0.0013691221873096064
59,2020-03-21,37,2.0,No,14.714285714285714,14,0.001916771062233449
60,2020-03-22,51,2.0,No,21.428571428571427,18,0.0024644199371572917
61,2020-03-23,69,2.0,No,30.428571428571427,37,0.005065752093045543
62,2020-03-24,106,2.0,No,44.714285714285715,16,0.00219059549969537
63,2020-03-25,122,2.0,No,61.0,15,0.00205368328096441
64,2020-03-26,137,2.0,No,78.42857142857143,23,0.0031489810308120945
65,2020-03-27,160,2.0,No,97.42857142857143,24,0.0032858932495430553
66,2020-03-28,184,2.0,No,118.42857142857143,30,0.00410736656192882
67,2020-03-29,214,2.0,No,141.71428571428572,31,0.0042442787806597805
68,2020-03-30,245,2.0,No,166.85714285714286,41,0.005613400967969386
69,2020-03-31,286,2.0,No,192.57142857142858,28,0.003833542124466898
70,2020-04-01,314,2.0,No,220.0,26,0.0035597176870049768
71,2020-04-02,340,2.0,No,249.0,34,0.004655015436852662
72,2020-04-03,374,2.0,No,279.57142857142856,32,0.00438119099939074
73,2020-04-04,406,2.0,No,311.2857142857143,29,0.003970454343197859
74,2020-04-05,435,2.0,No,342.85714285714283,6,0.0008214733123857638
75,2020-04-06,441,2.0,No,370.85714285714283,16,0.00219059549969537
76,2020-04-07,457,2.0,No,395.2857142857143,15,0.00205368328096441
77,2020-04-08,472,2.0,No,417.85714285714283,62,0.008488557561319561
78,2020-04-09,534,2.0,No,445.57142857142856,16,0.00219059549969537
79,2020-04-10,550,2.0,No,470.7142857142857,28,0.003833542124466898
80,2020-04-11,578,2.0,No,495.2857142857143,35,0.004791927655583623
81,2020-04-12,613,2.0,No,520.7142857142857,28,0.003833542124466898
82,2020-04-13,641,2.0,No,549.2857142857143,11,0.0015060344060405671
83,2020-04-14,652,2.0,No,577.1428571428571,16,0.00219059549969537
84,2020-04-15,668,2.0,No,605.1428571428571,21,0.0028751565933501735
85,2020-04-16,689,2.0,No,627.2857142857143,19,0.002601332155888252
86,2020-04-17,708,2.0,No,649.8571428571429,13,0.0017798588435024884
87,2020-04-18,721,2.0,No,670.2857142857143,10,0.0013691221873096064
88,2020-04-19,731,2.0,No,687.1428571428571,3,0.0004107366561928819
89,2020-04-20,734,2.0,No,700.4285714285714,10,0.0013691221873096064
90,2020-04-21,744,2.0,No,713.5714285714286,30,0.00410736656192882
91,2020-04-22,774,2.0,No,728.7142857142857,24,0.0032858932495430553
92,2020-04-23,798,2.0,No,744.2857142857143,55,0.007530172030202835
93,2020-04-24,853,2.0,No,765.0,9,0.0012322099685786458
94,2020-04-25,862,2.0,No,785.1428571428571,5,0.0006845610936548032
95,2020-04-26,867,2.0,No,804.5714285714286,12,0.0016429466247715276
96,2020-04-27,879,2.0,No,825.2857142857143,5,0.0006845610936548032
97,2020-04-28,884,2.0,No,845.2857142857143,23,0.0031489810308120945
98,2020-04-29,907,2.0,No,864.2857142857143,25,0.003422805468274016
99,2020-04-30,932,2.0,No,883.4285714285714,32,0.00438119099939074
100,2020-05-01,964,2.0,No,899.2857142857143,24,0.0032858932495430553
101,2020-05-02,988,2.0,No,917.2857142857143,6,0.0008214733123857638
102,2020-05-03,994,2.0,No,935.4285714285714,11,0.0015060344060405671
103,2020-05-04,1005,2.0,No,953.4285714285714,23,0.0031489810308120945
104,2020-05-05,1028,2.0,No,974.0,27,0.0036966299057359375
105,2020-05-06,1055,2.0,No,995.1428571428571,24,0.0032858932495430553
106,2020-05-07,1079,2.0,No,1016.1428571428571,18,0.0024644199371572917
107,2020-05-08,1097,2.0,No,1035.142857142857,12,0.0016429466247715276
108,2020-05-09,1109,2.0,No,1052.4285714285713,15,0.00205368328096441
109,2020-05-10,1124,2.0,No,1071.0,13,0.0017798588435024884
110,2020-05-11,1137,2.0,No,1089.857142857143,20,0.0027382443746192127
111,2020-05-12,1157,2.0,No,1108.2857142857142,18,0.0024644199371572917
112,2020-05-13,1175,2.0,No,1125.4285714285713,29,0.003970454343197859
113,2020-05-14,1204,2.0,No,1143.2857142857142,47,0.00643487428035515
114,2020-05-15,1251,2.0,No,1165.2857142857142,40,0.0054764887492384255
115,2020-05-16,1291,2.0,No,1191.2857142857142,23,0.0031489810308120945
116,2020-05-17,1314,2.0,No,1218.4285714285713,34,0.004655015436852662
117,2020-05-18,1348,2.0,No,1248.5714285714287,9,0.0012322099685786458
118,2020-05-19,1357,2.0,No,1277.142857142857,29,0.003970454343197859
119,2020-05-20,1386,2.0,No,1307.2857142857142,42,0.005750313186700347
120,2020-05-21,1428,2.0,No,1339.2857142857142,32,0.00438119099939074
121,2020-05-22,1460,2.0,No,1369.142857142857,33,0.004518103218121701
122,2020-05-23,1493,2.0,No,1398.0,12,0.0016429466247715276
123,2020-05-24,1505,2.0,No,1425.2857142857142,30,0.00410736656192882
124,2020-05-25,1535,2.0,No,1452.0,46,0.006297962061624189
125,2020-05-26,1581,2.0,No,1484.0,19,0.002601332155888252
126,2020-05-27,1600,2.0,No,1514.5714285714287,36,0.004928839874314583
127,2020-05-28,1636,2.0,No,1544.2857142857142,38,0.005202664311776504
128,2020-05-29,1674,2.0,No,1574.857142857143,43,0.005887225405431308
129,2020-05-30,1717,2.0,No,1606.857142857143,15,0.00205368328096441
130,2020-05-31,1732,2.0,No,1639.2857142857142,16,0.00219059549969537
131,2020-06-01,1748,2.0,No,1669.7142857142858,13,0.0017798588435024884
132,2020-06-02,1761,2.0,No,1695.4285714285713,17,0.002327507718426331
133,2020-06-03,1778,2.0,No,1720.857142857143,10,0.0013691221873096064
134,2020-06-04,1788,2.0,No,1742.5714285714287,14,0.001916771062233449
135,2020-06-05,1802,2.0,No,1760.857142857143,15,0.00205368328096441
136,2020-06-06,1817,2.0,No,1775.142857142857,17,0.002327507718426331
137,2020-06-07,1834,2.0,No,1789.7142857142858,28,0.003833542124466898
138,2020-06-08,1862,2.0,No,1806.0,18,0.0024644199371572917
139,2020-06-09,1880,2.0,No,1823.0,8,0.001095297749847685
140,2020-06-10,1888,2.0,No,1838.7142857142858,19,0.002601332155888252
141,2020-06-11,1907,2.0,No,1855.7142857142858,13,0.0017798588435024884
142,2020-06-12,1920,2.0,No,1872.5714285714287,5,0.0006845610936548032
143,2020-06-13,1925,2.0,No,1888.0,7,0.0009583855311167245
144,2020-06-14,1932,2.0,No,1902.0,9,0.0012322099685786458
145,2020-06-15,1941,2.0,No,1913.2857142857142,19,0.002601332155888252
146,2020-06-16,1960,2.0,No,1924.7142857142858,41,0.005613400967969386
147,2020-06-17,2001,2.0,No,1940.857142857143,23,0.0031489810308120945
148,2020-06-18,2024,2.0,No,1957.5714285714287,39,0.005339576530507465
149,2020-06-19,2063,2.0,No,1978.0,16,0.00219059549969537
150,2020-06-20,2079,2.0,No,2000.0,22,0.0030120688120811342
151,2020-06-21,2101,2.0,No,2024.142857142857,12,0.0016429466247715276
152,2020-06-22,2113,2.0,No,2048.714285714286,26,0.0035597176870049768
153,2020-06-23,2139,2.0,No,2074.285714285714,34,0.004655015436852662
154,2020-06-24,2173,2.0,No,2098.8571428571427,47,0.00643487428035515
155,2020-06-25,2220,2.0,No,2126.8571428571427,46,0.006297962061624189
156,2020-06-26,2266,2.0,No,2155.8571428571427,30,0.00410736656192882
157,2020-06-27,2296,2.0,No,2186.8571428571427,31,0.0042442787806597805
158,2020-06-28,2327,2.0,No,2219.1428571428573,33,0.004518103218121701
159,2020-06-29,2360,2.0,No,2254.4285714285716,14,0.001916771062233449
160,2020-06-30,2374,2.0,No,2288.0,57,0.007803996467664756
161,2020-07-01,2431,2.0,No,2324.8571428571427,43,0.005887225405431308
162,2020-07-02,2474,2.0,No,2361.1428571428573,51,0.006982523155278993
163,2020-07-03,2525,1.0,Yes,2398.1428571428573,49,0.006708698717817071
164,2020-07-04,2574,1.0,Yes,2437.8571428571427,34,0.004655015436852662
165,2020-07-05,2608,1.0,Yes,2478.0,37,0.005065752093045543
166,2020-07-06,2645,1.0,Yes,2518.714285714286,40,0.0054764887492384255
167,2020-07-07,2685,1.0,Yes,2563.1428571428573,66,0.009036206436243402
168,2020-07-08,2751,1.0,Yes,2608.8571428571427,53,0.007256347592740914
169,2020-07-09,2804,1.0,Yes,2656.0,131,0.017935500653755845
170,2020-07-10,2935,1.0,Yes,2714.5714285714284,65,0.008899294217512442
171,2020-07-11,3000,1.0,Yes,2775.4285714285716,59,0.008077820905126678
172,2020-07-12,3059,1.0,Yes,2839.8571428571427,43,0.005887225405431308
173,2020-07-13,3102,1.0,Yes,2905.1428571428573,66,0.009036206436243402
174,2020-07-14,3168,1.0,Yes,2974.1428571428573,48,0.006571786499086111
175,2020-07-15,3216,1.0,Yes,3040.5714285714284,90,0.012322099685786457
176,2020-07-16,3306,1.0,Yes,3112.285714285714,101,0.013828134091827026
177,2020-07-17,3407,1.0,Yes,3179.714285714286,70,0.009583855311167245
178,2020-07-18,3477,1.0,Yes,3247.8571428571427,40,0.0054764887492384255
